Full_flag:  False
Hybrid:  False
841: acc=65.00% acc_corr=65.00% avg#q_ae=474.83 med#q=493.0, avg_margin=0.020895 (n_ex=100, eps=0.063, 1305.81s)
851: acc=65.00% acc_corr=65.00% avg#q_ae=474.83 med#q=493.0, avg_margin=0.020766 (n_ex=100, eps=0.063, 1321.58s)
861: acc=65.00% acc_corr=65.00% avg#q_ae=474.83 med#q=493.0, avg_margin=0.020733 (n_ex=100, eps=0.063, 1337.48s)
871: acc=65.00% acc_corr=65.00% avg#q_ae=474.83 med#q=493.0, avg_margin=0.020524 (n_ex=100, eps=0.063, 1352.53s)
881: acc=65.00% acc_corr=65.00% avg#q_ae=474.83 med#q=493.0, avg_margin=0.020305 (n_ex=100, eps=0.063, 1367.76s)
891: acc=64.00% acc_corr=64.00% avg#q_ae=486.31 med#q=508.0, avg_margin=0.020146 (n_ex=100, eps=0.063, 1382.96s)
901: acc=64.00% acc_corr=64.00% avg#q_ae=486.31 med#q=508.0, avg_margin=0.019965 (n_ex=100, eps=0.063, 1398.00s)
911: acc=64.00% acc_corr=64.00% avg#q_ae=486.31 med#q=508.0, avg_margin=0.019851 (n_ex=100, eps=0.063, 1413.10s)
921: acc=64.00% acc_corr=64.00% avg#q_ae=486.31 med#q=508.0, avg_margin=0.019674 (n_ex=100, eps=0.063, 1428.29s)
931: acc=64.00% acc_corr=64.00% avg#q_ae=486.31 med#q=508.0, avg_margin=0.019616 (n_ex=100, eps=0.063, 1443.36s)
941: acc=64.00% acc_corr=64.00% avg#q_ae=486.31 med#q=508.0, avg_margin=0.019547 (n_ex=100, eps=0.063, 1458.40s)
951: acc=62.00% acc_corr=62.00% avg#q_ae=510.76 med#q=550.5, avg_margin=0.019452 (n_ex=100, eps=0.063, 1473.45s)
961: acc=62.00% acc_corr=62.00% avg#q_ae=510.76 med#q=550.5, avg_margin=0.019344 (n_ex=100, eps=0.063, 1488.67s)
971: acc=62.00% acc_corr=62.00% avg#q_ae=510.76 med#q=550.5, avg_margin=0.019021 (n_ex=100, eps=0.063, 1503.87s)
981: acc=62.00% acc_corr=62.00% avg#q_ae=510.76 med#q=550.5, avg_margin=0.018872 (n_ex=100, eps=0.063, 1518.94s)
991: acc=62.00% acc_corr=62.00% avg#q_ae=510.76 med#q=550.5, avg_margin=0.018803 (n_ex=100, eps=0.063, 1534.10s)
1001: acc=62.00% acc_corr=62.00% avg#q_ae=510.76 med#q=550.5, avg_margin=0.018740 (n_ex=100, eps=0.063, 1549.24s)
1011: acc=62.00% acc_corr=62.00% avg#q_ae=510.76 med#q=550.5, avg_margin=0.018634 (n_ex=100, eps=0.063, 1564.32s)
1021: acc=62.00% acc_corr=62.00% avg#q_ae=510.76 med#q=550.5, avg_margin=0.018442 (n_ex=100, eps=0.063, 1579.38s)
1031: acc=62.00% acc_corr=62.00% avg#q_ae=510.76 med#q=550.5, avg_margin=0.018378 (n_ex=100, eps=0.063, 1594.50s)
1041: acc=62.00% acc_corr=62.00% avg#q_ae=510.76 med#q=550.5, avg_margin=0.018344 (n_ex=100, eps=0.063, 1609.97s)
1051: acc=62.00% acc_corr=62.00% avg#q_ae=510.76 med#q=550.5, avg_margin=0.018316 (n_ex=100, eps=0.063, 1630.43s)
1061: acc=62.00% acc_corr=62.00% avg#q_ae=510.76 med#q=550.5, avg_margin=0.018232 (n_ex=100, eps=0.063, 1651.92s)
1071: acc=62.00% acc_corr=62.00% avg#q_ae=510.76 med#q=550.5, avg_margin=0.018104 (n_ex=100, eps=0.063, 1672.62s)
